forwarders;clients;processes;layout;spatiality;odirect;stonewall;request;total;operation;time;transfered;bandwidth
2;32;384;1;1;1;60;512;16777216;write;60.88643;7507.0;123.29512
4;8;96;1;1;1;60;6144;16777216;write;60.58148;75012.0;1238.2001
8;8;96;1;1;1;60;32;16777216;write;61.30469;789.53125;12.87881
1;32;384;1;1;1;60;512;16777216;write;61.12494;8107.5;132.63817
1;8;96;1;0;1;60;512;16777216;write;60.27506;6531.0;108.35328
4;32;1536;1;1;1;60;512;16777216;write;61.82814;27564.5;445.8245
8;16;192;1;1;1;60;128;16777216;write;60.92259;3912.75;64.22495
4;32;768;1;0;1;60;1024;16777216;write;60.45526;77347.0;1279.40895
2;8;96;0;0;1;60;4096;16777216;write;60.89179;46476.0;763.25555
8;32;1536;0;0;1;60;1024;16777216;write;60.44877;150495.0;2489.6287
1;16;192;1;1;1;60;128;16777216;write;60.13197;2827.0;47.01326
4;32;384;1;1;1;60;512;16777216;write;60.88465;13953.5;229.17926
1;8;96;0;0;1;60;8192;16777216;write;60.89697;22400.0;367.83441
2;8;192;0;0;1;60;8192;16777216;write;60.81099;44616.0;733.68315
4;32;1536;1;0;1;60;1024;16777216;write;61.44722;79264.0;1289.95249
1;32;768;1;0;1;60;8192;16777216;write;65.80471;18176.0;276.21122
8;32;1536;1;0;1;60;1024;16777216;write;60.38218;136788.0;2265.3705
2;32;768;1;0;1;60;1024;16777216;write;61.18434;26119.0;426.89031
1;8;384;1;0;1;60;4096;16777216;write;64.66612;20200.0;312.37378
8;16;384;1;0;1;60;8192;16777216;write;61.43055;111640.0;1817.33695
1;32;1536;1;0;1;60;1024;16777216;write;61.61936;19907.0;323.06404
8;32;768;1;0;1;60;1024;16777216;write;60.62478;110776.0;1827.23961
1;8;96;1;1;1;60;6144;16777216;write;61.52666;15036.0;244.38186
8;32;1536;1;0;1;60;4096;16777216;write;61.49459;121612.0;1977.60491
8;8;96;1;1;1;60;6144;16777216;write;60.68874;80268.0;1322.61771
4;32;384;1;1;1;60;512;16777216;write;60.53571;16778.5;277.16697
1;8;96;1;1;1;60;32;16777216;write;60.2637;227.40625;3.77352
1;16;192;1;0;1;60;32;16777216;write;60.33594;353.25;5.85472
2;8;96;0;0;1;60;8192;16777216;write;61.18701;39448.0;644.71206
8;8;96;0;0;1;60;4096;16777216;write;60.19674;112404.0;1867.27718
8;8;192;1;1;1;60;8192;16777216;write;60.66919;131304.0;2164.26167
1;32;384;1;1;1;60;4096;16777216;write;61.92274;22284.0;359.86778
4;32;1536;0;0;1;60;128;16777216;write;62.80997;3609.125;57.46102
4;32;384;1;1;1;60;4096;16777216;write;61.59689;91436.0;1484.42556
8;32;1536;0;0;1;60;1024;16777216;write;60.75969;133092.0;2190.46534
4;16;768;1;0;1;60;1024;16777216;write;60.38934;74560.0;1234.65502
8;32;1536;0;0;1;60;128;16777216;write;61.06519;8412.75;137.76672
2;8;96;1;0;1;60;512;16777216;write;60.57143;5256.5;86.78184
1;32;1536;1;1;1;60;512;16777216;write;66.691;3824.0;57.33907
2;16;192;1;1;1;60;128;16777216;write;61.71277;1422.75;23.05438
8;32;768;1;0;1;60;8192;16777216;write;62.50977;95888.0;1533.96818
8;32;1536;0;0;1;60;128;16777216;write;61.90202;4741.625;76.59887
8;8;192;0;0;1;60;8192;16777216;write;60.877;116520.0;1914.02328
4;8;96;0;0;1;60;4096;16777216;write;60.4568;79168.0;1309.49696
1;8;192;1;1;1;60;1024;16777216;write;60.23048;16484.0;273.68202
8;16;192;1;0;1;60;32;16777216;write;60.63942;2033.4375;33.53326
4;32;768;1;0;1;60;8192;16777216;write;62.68208;71152.0;1135.12499
4;16;192;1;1;1;60;128;16777216;write;62.36844;2044.625;32.78301
4;8;96;1;1;1;60;32;16777216;write;60.35313;833.78125;13.81505
2;16;384;1;0;1;60;8192;16777216;write;64.98902;32800.0;504.70063
1;32;1536;1;0;1;60;1024;16777216;write;62.74276;28965.0;461.64689
2;8;192;1;1;1;60;8192;16777216;write;62.25221;50512.0;811.40896
8;32;384;1;1;1;60;512;16777216;write;60.69432;25494.5;420.04757
1;8;192;1;1;1;60;1024;16777216;write;60.41696;23302.0;385.68642
8;8;192;1;1;1;60;1024;16777216;write;60.50771;125363.0;2071.85151
