forwarders;clients;processes;layout;spatiality;odirect;stonewall;request;total;operation;time;transfered;bandwidth
8;16;384;1;0;1;60;32;131072;write;60.31547;12663.8125;209.9596
2;32;768;0;0;1;60;6144;131072;write;62.94746;84948.0;1349.50637
1;32;1536;0;0;1;60;512;131072;write;63.35016;3077.0;48.57131
1;32;1536;1;0;1;60;512;131072;write;67.02412;2335.5;34.84566
8;32;1536;1;0;1;60;32;131072;write;60.10013;4351.40625;72.40261
2;32;384;0;0;1;60;512;131072;write;60.52941;16625.5;274.66815
8;32;384;0;0;1;60;4096;131072;write;29.34881;130560.0;4448.5616
8;16;192;1;1;1;60;128;131072;write;60.09615;13029.625;216.81298
2;32;768;1;1;1;60;512;131072;write;65.91642;3710.5;56.29099
4;32;1536;1;0;1;60;1024;131072;write;68.65731;3511.0;51.13804
2;32;768;1;0;1;60;1024;131072;write;64.09112;6751.0;105.33441
8;8;384;0;0;1;60;8192;131072;write;16.70211;129024.0;7725.01164
2;16;384;1;0;1;60;128;131072;write;60.23109;16301.625;270.65132
4;16;768;1;1;1;60;1024;131072;write;67.00005;4893.0;73.0298
2;16;384;1;1;1;60;1024;131072;write;64.79229;4801.0;74.09832
2;16;384;1;0;1;60;1024;131072;write;61.85855;7144.0;115.4893
1;8;384;1;1;1;60;6144;131072;write;64.5939;6912.0;107.00701
8;16;192;1;1;1;60;4096;131072;write;67.47;7072.0;104.81695
2;16;768;1;0;1;60;8192;131072;write;83.72389;18048.0;215.56572
2;8;96;0;0;1;60;512;131072;write;60.153;18542.0;308.24731
4;8;96;1;1;1;60;128;131072;write;60.01002;12166.5;202.74114
2;32;1536;1;1;1;60;4096;131072;write;71.85652;12288.0;171.00744
2;8;192;0;0;1;60;4096;131072;write;60.45191;55032.0;910.34343
8;8;192;0;0;1;60;128;131072;write;48.73201;131064.0;2689.48494
4;16;384;1;1;1;60;512;131072;write;64.88667;1691.5;26.06853
1;32;768;1;0;1;60;128;131072;write;60.32667;8329.125;138.06705
1;8;96;1;1;1;60;128;131072;write;60.06452;10663.625;177.53616
4;32;1536;0;0;1;60;4096;131072;write;57.67904;129024.0;2236.93024
